year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.482;0.611;0.500;0.483;0.639;;0.280;0.632;0.529;0.143;
2012;0.414;0.652;0.533;0.367;0.517;0.400;0.344;0.652;0.441;0.312;0.667
2011;0.452;0.694;0.481;0.419;0.577;0.500;0.172;0.611;0.382;0.500;0.297
2010;0.463;0.528;0.545;0.375;0.619;0.333;0.280;0.750;0.212;0.294;0.294
2009;0.340;0.600;0.550;0.500;0.692;0.556;0.226;0.364;0.324;0.529;0.289
2008;0.327;0.700;0.650;0.542;;0.471;0.233;0.684;0.548;0.435;0.343
2007;0.367;0.457;0.407;0.552;;0.158;0.214;0.682;0.476;0.316;0.297
2006;0.278;0.400;0.750;0.556;;0.160;0.148;0.435;0.520;0.529;0.182
2005;0.341;0.364;0.667;0.394;;0.360;0.160;0.500;0.229;0.333;0.214
2004;0.328;0.368;0.464;0.242;;0.200;0.214;0.619;0.357;;0.400
2003;0.476;0.333;0.514;0.200;;;0.115;0.333;0.333;;0.273
2002;0.489;0.393;0.667;0.292;;;0.048;0.519;0.471;;0.421
2001;0.298;0.448;0.609;0.421;;;;0.500;0.414;;0.375
2000;0.311;0.440;0.719;;;;;;0.429;;0.261
1999;0.482;0.388;0.552;;;;;;0.345;;0.240
1998;0.317;0.444;;;;;;;0.167;;
1997;;;;;;;;;0.370;;
