2012;experts;Mark Harman;University College London;United Kingdom;
2012;experts;Shinichi Honiden;National Institute of Informatics;Japan;
2012;experts;Andrew Ireland;Heriot-Watt University;United Kingdom;
2012;experts;Sarfraz Khurshid;University of Texas at Austin;United States;
2012;experts;Yves Ledru;Universite Grenoble-1;France;
2012;experts;Anna Liu;NICTA;Australia;
2012;experts;Michael R. Lowry;NASA Ames;United States;
2012;experts;Darko Marinov;University of Illinois at Urbana-Champaign;United States;
2012;experts;Hong Mei;Peking University;China;
2012;experts;Alessandro Orso;Georgia Institute of Technology;United States;
2012;experts;Corina Pasareanu;NASA Ames/Carnegie Mellon Silicon Valley;United States;
2012;experts;Douglas R. Smith;Kestrel Institute;United States;
2012;experts;Virginie Wiels;ONERA;France;
2012;experts;Andrea Zisman;City University London;United Kingdom;
2011;main;Perry Alexander;University of Kansas;USA;
2011;main;Corina Pasareanu;Nasa AMES;USA;
2011;main;John Hosking;University of Auckland;New Zealand;
2011;tools;Reiko Heckel;University of Leicester;UK;
2011;ds;Tim Menzies;West Virginia University;USA;
2011;ds;Motoshi Saeki;Tokyo Institute of Technology;Japan;
2011;tutorials;Yuanfang Cai;Drexel University;USA;
2011;tutorials;Arvin Agah;University of Kansas;USA;
2011;main;Jamie Andrews;University of Western Ontario;Canada;
2011;main;Nikolaj Bjoerner;Microsoft Research;USA;
2011;main;Tevfik Bultan;University of California;Santa Barbara;USA
2011;main;Margaret Burnett;Oregon State University;USA;
2011;main;Yuanfang Cai;Drexel University;USA;
2011;main;Marsha Chechik;University of Toronto;Canada;
2011;main;Myra Cohen;University of Nebraska–Lincoln;USA;
2011;main;Vittorio Cortellessa;Universit š dell'Aquila;Italy;
2011;main;Ivica Crnkovic;Mälardalen University;Sweden;
2011;main;Marcelo d’Amorim;Federal University of Pernambuco;Brazil;
2011;main;Giovanni Denaro;University of Milano-Bicocca;Italy;
2011;main;Ewen Denney;SGT / NASA Ames;USA;
2011;main;Bernd Fischer;University of Southampton;UK;
2011;main;Michael Goedicke;University of Duisburg-Essen;Germany;
2011;main;Paul Gruenbacher;Johannes Kepler University Linz;Austria;
2011;main;Lars Grunske;University of Kaiserslautern;Germany;
2011;main;Arie Gurfinkel;SEI / Carnegie Mellon University;USA;
2011;main;Robert J. Hall;AT&T Labs Research;USA;
2011;main;Mats Heimdahl;University of Minnesota Software Engineering Center;USA;
2011;main;Sarfraz Khurshid;University of Texas at Austin;USA;
2011;main;Anna Liu;NICTA;Australia;
2011;main;David Lo;Singapore Management University;Singapore;
2011;main;Michael R. Lowry;NASA Ames;USA;
2011;main;Jonathan Maletic;Kent State University;USA;
2011;main;Darko Marinov;University of Illinois at Urbana-Champaign;USA;
2011;main;Hong Mei;Peking University;China;
2011;main;Tim Menzies;West Virginia University;USA;
2011;main;Charles Pecheur;Université catholique de Louvain;Belgium;
2011;main;John Penix;Google;USA;
2011;main;David F. Redmiles;University of California;Irvine;USA
2011;main;Grigore Rosu;University of Illinois at Urbana-Champaign;USA;
2011;main;Motoshi Saeki;Tokyo Institute of Technology;Japan;
2011;main;Beverly Sanders;University of Florida;USA;
2011;main;Anita Sarma;University of Nebraska–Lincoln;USA;
2011;main;Nikolai Tillmann;Microsoft Research;USA;
2011;main;Richard Torkar;Blekinge Institute of Technology;Sweden;
2011;main;Willem Visser;Stellenbosch University;South Africa;
2011;main;Michael Whalen;University of Minnesota;USA;
2011;main;Tao Xie;North Carolina State University;USA;
2011;main;Albert Zuendorf;University of Kassel;Germany;
2011;experts;Sven Apel;University of Passau;Germany;
2011;experts;Krzysztof Czarnecki;University of Waterloo;Canada;
2011;experts;Elisabetta Di Nitto;Politecnico di Milano;Italy;
2011;experts;Claudia Ermel;Technische Universität Berlin;Germany;
2011;experts;Ian Gorton;Pacific Northwest National Laboratory;USA;
