2011;main;Rainer Gimnich;IBM Frankfurt;Germany;;
2011;main;Yann-Gaël Guéhéneuc;Université de Montréal;Canada;;
2011;main;Tibor Gyimothy;University of Szeged;Hungary;;
2011;main;Mark Harman;King's College London;UK;;
2011;main;Wilhelm Hasselbring;University of Kiel;Germany;;
2011;main;Shihong Huang;Florida Atlantic University;USA;;
2011;main;Marianne Huchard;Université de Montpellier;France;;
2011;main;Mira Kajko-Mattsson;Stockholm University and Royal Institute of Technology;Sweden;;
2011;main;Toshihiro Kamiya;Japan;;;
2011;main;Holger M. Kienle;University of Victoria;Canada;;
2011;main;Jens Knodel;Fraunhofer IESE;Germany;;
2011;main;Kostas Kontogiannis;National Technical University of Athens;Greece;;
2011;main;Rainer Koschke;University of Bremen;Germany;;
2011;main;Jens Krinke;King's College London;UK;;
2011;main;Grace Lewis;Software Engineering Institute;Carnegie Mellon;USA;
2011;main;Mircea Lungu;University of Bern;Switzerland;;
2011;main;Radu Marinescu;"Universitatea ""Politehnica"" di Timisoara";Romania;;
2011;main;Kim Mens;Université Catholique de Louvain;Belgium;;
2011;main;Oscar Nierstrasz;University of Bern;Switzerland;;
2011;main;Liam O'Brien;National ICT Australia Limited;Australia;;
2011;main;Martin Pinzger;Delft University of Technology;Netherlands;;
2011;main;Ralf H. Reussner;Karlsruhe Institute of Technology (KIT);Germany;;
2011;main;Filippo Ricca;University of Genova;Italy;;
2011;main;Romain Robbes;University of Chile;Chile;;
2011;main;Wilhelm Schäfer;University of Paderborn;Germany;;
2011;main;Klaus Schmid;University of Hildesheim;Germany;;
2011;main;Sibylle Schupp;Technical University of Harburg;Germany;;
2011;main;Harry Sneed;Germany;;;
2011;main;Diomidis Spinellis;Athens University of Economics and Business;Greece;;
2011;main;Eleni Stroulia;University of Alberta;Canada;;
2011;main;Tarja Systä;Tampere University of Technology;Finland;;
2011;main;Ladan Tahvildari;University of Waterloo;Canada;;
2011;main;Dalila Tamzalit;Université de Nantes;France;;
2011;main;Scott Tilley;Florida Institute of Technology;USA;;
2011;main;Christos Tjortjis;University of Manchester;UK;;
2011;main;Paolo Tonella;Fondazione Bruno Kessler;Italy;;
2011;main;Mircea Trifu;FZI Forschungszentrum Informatik;Germany;;
2011;main;Mark G. J. van den Brand;Technical University Eindhoven;Netherlands;;
2011;main;Ragnhild Van Der Straeten;Vrije Universiteit Brussel;Belgium;;
2011;main;Joost Visser;Software Improvement Group;Netherlands;;
2011;main;Michel Wermelinger;The Open University;UK;;
2011;main;Carl Worms;Credit Suisse;Switzerland;;
2011;main;Andy Zaidman;Technische Universiteit Delft;Netherlands;;
2011;main;Hongyu Zhang;Tsinghua University;China;;
2011;main;Jianjun Zhao;Shanghai Jiao Tong University;China;;
2011;main;Thomas Zimmermann;University of Calgary & Microsoft;Canada;;
2010;main;Rafael Capilla;Universidad Rey Juan Carlos;Spain;;
2010;main;Rudolf Ferenc;University of Szeged;Hungary;;
2010;main;Juan Carlos Duenas;Universidad Politecnica de Madrid;Spain;;
2010;main;Fernando Alcántara;Indra;Spain;;
2010;main;Nicolas Anquetil;Universidade Catolica de Brasilia;Brazil;;
2010;main;Maria Teresa Baldassarre;University of Bari;Italy;;
2010;main;Francoise Balmas;Universite Paris 8;France;;
2010;main;Árpád Beszédes;University of Szeged;Hungary;;
2010;main;Fernando Brito e Abreu;Universidade Nova de Lisboa;Portugal;;
2010;main;Danilo Caivano;University of Bari;Italy;;
2010;main;Gerardo Canfora;University of Sannio;Italy;;
2010;main;Jim Cordy;Queen's University;Canada;;
2010;main;Marco D’Ambros;University of Lugano;Switzerland;;
2010;main;Andrea De Lucia;Universita degli Studi di Salerno;Italy;;
2010;main;Giuseppe Antonio di Lucca;University of Sannio;RCOST;Benevento;Italy
2010;main;Massimiliano Di Penta;University of Sannio;Italy;;
2010;main;Damiano Distante;Universita Telematica TELMA;Italy;;
2010;main;Jürgen Ebert;University of Koblenz-Landau;Germany;;
2010;main;Anna Rita Fasolino;University of Naples Federico II;Italy;;
2010;main;Jean-Marie Favre;University of Grenoble;France;;
2010;main;Yann-Gaël Guéhéneuc;École Polytechnique de Montréal;Canada;;
2010;main;Rainer Gimnich;IBM Frankfurt;Germany;;
2010;main;Nicolas Gold;King's College London;UK;;
2010;main;Tibor Gyimothy;University of Szeged;Hungary;;
2010;main;Mark Harman;King's College London;UK;;
2010;main;Wilhelm Hasselbring;University of Kiel;Germany;;
2010;main;Dean Jin;University of Manitoba;Canada;;
2010;main;Mira Kajko-Mattsson;Stockholm University and Royal Institute of Technology;Sweden;;
2010;main;Yannis Kanellopoulos;Software Improvement Group;Amsterdam;The Netherlands;
2010;main;Holger M. Kienle;University of Victoria;Canada;;
2010;main;Günter Kniesel;University of Bonn;Germany;;
2010;main;Jens Knodel;Fraunhofer IESE;Germany;;
2010;main;Kostas Kontogiannis;National Technical University of Athens;Greece;;
2010;main;Rainer Koschke;University of Bremen;Germany;;
2010;main;Kai Koskimies;Tampere University of Technology;Finland;;
2010;main;René Krikhaar;VU University Amsterdam;The Netherlands;;
2010;main;Ralf Laemmel;University of Koblenz-Landau;Germany;;
2010;main;Grace Lewis;Software Engineering Institute;Carnegie Mellon;Pittsburgh;USA
2010;main;Mikael Lindvall;Fraunhofer Center Maryland;USA;;
2010;main;Panos Linos;Butler University;USA;;
2010;main;Spiros Mancoridis;Drexel University;USA;;
2010;main;Jason Mansell;European Software Institute;Spain;;
