2010;main;Christine Julien;The University of Texas at Austin;USA;
2010;main;Axel van Lamsweerde;Université Catholique de Louvain;Belgium;
2010;main;Michele Lanza;University of Lugano;Switzerland;
2010;main;Nenad Medvidovic;University of Southern California;USA;
2010;main;Henry Muccini;University of L'Aquila;Italy;
2010;main;Kumiyo Nakakoji;SRA Inc.;Japan;
2010;main;Alessandro Orso;Georgia Institute of Technology;USA;
2010;main;Mauro Pezze;University of Lugano and University of Milano Bicocca;Switzerland and  Italy;
2010;main;Ita Richardson;Lero - the Irish Software Engineering Research Centre;Ireland;
2010;main;Martin Robillard;McGill University;Canada;
2010;main;David S. Rosenblum;University College London;United Kingdom;
2010;main;Wilhelm Schäfer;Universität Paderborn;Germany;
2010;main;Yannis Smaragdakis;University of Massachusetts, Amherst;USA;
2010;main;Margaret-Anne Storey;University of Victoria;Canada;
2010;main;Zhendong Su;University of California, Davis;USA;
2010;main;Peri Tarr;IBM Thomas J. Watson Research Center;USA;
2010;main;Claudia Maria Lima Werner;Federal University of Rio de Janeiro;Brazil;
2010;main;Laurie Williams;North Carolina State University;USA;
2010;main;Michal Young;University of Oregon;USA;
2010;ds;Luciano Baresi;Politecnico di Milano;Italy;
2010;ds;Lori A. Clarke;University of Massachusetts;Amherst;USA
2010;ds;Myra Cohen;University of Nebraska;Lincoln;USA
2010;ds;Harald Gall;University of Zurich;Switzerland;
2010;ds;Jeffrey Kramer;Imperial College London;UK;
2010;ds;Martin Robillard;McGill University;Canada;
2010;ds;Willem C. Visser;University of Stellenbosch;South Africa;
2010;demos;Tim Menzies;West Virginia University, USA;;
2010;demos;Miryung Kim;University of Texas - Austin;USA;
2010;demos;Danny Dig;University of Illinois - Urbana Champaign;USA;
2010;demos;Leonardo Murta;Universidade Federal Fluminese;Brazil;
2010;demos;Anita Sarma;University of Nebraska - Lincoln;USA;
2010;demos;Lars Grunske;Swinburne University of Technology;Australia;
2010;demos;Mark Grechanik;Accenture Research;USA;
2010;demos;Tom Zimmermann;Microsoft Research;USA;
2010;demos;Ahmed Hassan;Queen's University;Canada;
2010;demos;Martin Pinzger;Delft University of Technology;Netherlands;
2010;demos;Massimiliano Di Penta;University of Sannio;Italy;
2010;demos;Romain Robbes;University of Chile;Chile;
2010;demos;Yann-Gaël Guéhéneuc;École Polytechnique de Montréal;Canada;
2010;demos;Sung Kim;Hong Kong University of Science and Technology;;
2009;main;Hans van Vliet;VU University Amsterdam;The Netherlands;
2009;main;Valerie Issarny;INRIA-Paris-Rocquencourt;France;
2009;main;Paris Avgeriou;University of Groningen;The Netherlands;
2009;main;Antonia Bertolino;ISTI-CNR;Italy;
2009;main;Judith Bishop;University of Pretoria;South Africa ;
2009;main;Victor Braberman;Universidad de Buenos Aires;Argentina ;
2009;main;Antonio Carzaniga;University of Lugano;Switzerland ;
2009;main;Betty H. C. Cheng;Michigan State University;USA;
2009;main;Shing-Chi Cheung;The Hong Kong University of Science and Technology;Hong Kong ;
2009;main;Lori A. Clarke;University of Massachusetts;Amherst;USA 
2009;main;Ivica Crnkovic;Mälardalen University;Sweden;
2009;main;Sebastian Elbaum;University of Nebraska - Lincoln;USA ;
2009;main;Harald Gall;University of Zurich;Switzerland ;
2009;main;David Garlan;Carnegie Mellon University;USA ;
2009;main;Carlo Ghezzi;Politecnico di Milano;Italy ;
2009;main;Dimitra Giannakopoulou;RIACS/NASA Ames;USA ;
2009;main;Tony Gorschek;Blekinge Institute of Technology;Sweden;
2009;main;Sriram K. Rajamani;Microsoft Research;India ;
2009;main;Jeffrey N. Magee;Imperial College London; UK ;
2009;main;Nenad Medvidovic;University of Southern California;USA ;
2009;main;Raffaela Mirandola;Politecnico di Milano;Italy ;
2009;main;Gail Murphy;University of British Columbia;Canada ;
2009;main;Wilhelm Schäfer;Univ. of Paderborn;Germany ;
2009;main;Massimo Tivoli;Università dell'Aquila;Italy ;
2009;main;Michel Wermelinger;The Open University;UK;
2009;main;Yun Yang;Swinburne University of Technology;Australia ;
2009;main;Apostolos Zarras;University of Ioannina;Greece ;
2009;main;Pamela Zave;AT&T Laboratories-Research;USA ;
2009;main;Andreas Zeller; Saarland University;Germany;
2009;challenges;Paola Inverardi;Università dell'Aquila;Italy;
2009;challenges;André van der Hoek;University of California, Irvine;USA;
2009;ds;Alexander L. Wolf;Imperial College London;UK;
2009;ds;Michel Chaudron;Leiden University;The Netherlands;
2009;demos;Nikolaos Georgantas;INRIA-Paris-Rocquencourt;France;
2009;demos;Steven Klusener;VU University Amsterdam;The Netherlands;
2009;posters;Nikolaos Georgantas;INRIA-Paris-Rocquencourt;France;
2009;posters;Steven Klusener;VU University Amsterdam;The Netherlands;
2008;main;Mary Jean Harrold;Georgia Institute of Technology;USA;
2008;main;Gail Murphy;University of British Columbia;Canada;
2008;sees;Laura K. Dillon;Michigan State University;USA ;
2008;sees;Thorna Humphries;Norfolk State University;USA;
2008;ds;Nenad Medvidovic;University of Southern California;USA;
2008;main;Joanne M. Atlee;University of Waterloo;Canada	 ;
2008;main;Alessandro Orso;Georgia Institute of Technology;USA;
2008;main;Antonia Bertolino;ISTI-CNR;Italy	 ;
2008;main;Corina Pasareanu;NASA Ames Research Center;USA;
2008;main;Daniela Damian;University of Victoria BC;Canada	 ;
2008;main;Martin Robillard;McGill University;Canada;
2008;main;Premkumar T. Devanbu;University of California;Davis;USA	 
2008;main;David S. Rosenblum;University College London;UK;
2008;main;Robert DeLine;Microsoft Research;USA	;
2008;main;Atanas Rountev;Ohio State University;USA;
2008;main;Carlo Ghezzi;Politecnico di Milano;Italy	 ;
2008;main;Barbara G. Ryder;Rutgers University;USA;
2008;main;Dimitra Giannakopoulou;RIACS/NASA Ames;USA	 ;
2008;main;Yannis Smaragdakis;University of Oregon;USA;
2008;main;James Herbsleb;Carnegie Mellon University;USA	 ;
2008;main;Peri Tarr;IBM Thomas J. Watson Research Center;USA;
2008;main;Katsuro Inoue;Osaka University;Japan	 ;
2008;main;André van der Hoek;University of California;Irvine;USA
2008;main;Pankaj Jalote;Indian Institute of Technology Delhi;India	 ;
2008;main;Pamela Zave;AT&T Laboratories;USA;
2008;main;Darko Marinov;University of Illinois at Urbana-Champaign;USA	 ;
2008;main;Andreas Zeller;Saarland University;Germany;
2008;main;Cecilia Mascolo;University of Cambridge;UK;
2007;main;Ivica Crnkovic;Mälardalen University;Sweden;
2007;main;Antonia Bertolino;ISTI-CNR;Italy;
2007;widenedSE;Antonia Bertolino;ISTI-CNR;Italy;
2007;widenedSE;Henry Muccini;Univ. dell'Aquila;Italy;
2007;stateOfTheArt;Mehdi Jazayeri;University of Lugano and Technical University of Vienna;;
2007;stateOfTheArt;David S. Rosenblum;Univ. College London;U.K.;
2007;posters;Eda Marchetti;ISTI-CNR;Italy;
2007;main;Gerardo Canfora;Univ. of Sannio;Italy;
2007;main;Shing-Chi Cheung;Hong Kong U. of Science and Technology;Hong Kong;
2007;main;Lori A. Clarke;Univ. of Massachusetts;USA ;
