2012;main;Thomas Fritz;University of Zurich;Switzerland;
2012;main;Tudor Girba;University of Bern;Switzerland;
2012;main;Yann-Gaël Guéhéneuc;Ecole Polytechnique de Montreal;Canada;
2012;main;Zhenchang Xing;National University of Singapore;Singapore;
2012;main;Thomas Dean;Queen's University;Canada;
2012;main;Rocco Oliveto;University Of Molise;Italy;
2012;main;Denys Poshyvanyk;The College of William and Mary;USA;
2011;main;Abram Hindle;University of California;Davis;USA
2011;main;Ahmed E. Hassan;Queen’s University;Canada;
2011;main;Ali Mesbah;University of British Columbia;Canada;
2011;main;Andrea De Lucia;Università di Salerno;Italy;
2011;main;Andreas Winter;Carl von Ossietzky University Oldenburg;Germany;
2011;main;Andrew Sutton;Texas A&M University;USA;
2011;main;Andrian Marcus;Wayne State University;USA;
2011;main;Andy Zaidman;Delft University of Technology;The Netherlands;
2011;main;Anthony Cleve;University of Namur;Belgium;
2011;main;Arie van Deursen;Delft University of Technology;The Netherlands;
2011;main;Bram Adams;Queen’s University;Canada;
2011;main;Chanchal K. Roy;University of Saskatchewan;Canada;
2011;main;Daqing Hou;Clarkson University;USA;
2011;main;Daniel German;University of Victoria;Canada;
2011;main;Dave Binkley;Loyola College;USA;
2011;main;David Lo;Singapore Management University;Singapore;
2011;main;Dirk Beyer;University of Passau;Germany;
2011;main;Filipo Ricca;University of Genova;Italy;
2011;main;Gerald Gannod;Miami University;USA;
2011;main;Gerardo Canfora;University of Sannio;Italy;
2011;main;Giuliano Antoniol;Ecole Polytechnique de Montréal;Canada;
2011;main;Hausi A. Muller;University of Victoria;Canada;
2011;main;Ira Baxter;Semantic Designs;USA;
2011;main;James R. Cordy;Queen’s University;Canada;
2011;main;Jens Krinke;University College London;United Kingdom;
2011;main;Jonathan I. Maletic;Kent State University;USA;
2011;main;Ladan Tahvildari;University of Waterloo;Canada;
2011;main;Malcom Gethers;The College of William and Mary;USA;
2011;main;Marco D'Ambros;University of Lugano;Switzerland;
2011;main;Mariano Ceccato;Fondazione Bruno Kessler;Italy;
2011;main;Mark Grechanik;Accenture Labs;USA;
2011;main;Mark Harman;University College London;United Kingdom;
2011;main;Massimiliano Di Penta;University of Sannio – Benevento;Italy;
2011;main;Michael Blaha;Modelsoft Consulting Corporation;Canada;
2011;main;Mohammed El Ramly;Cairo University;Egypt;
2011;main;Nabor Mendonca;University of Fortaleza;Brazil;
2011;main;Naouel Moha;University of Québec in Montréal;Canada;
2011;main;Nicholas Kraft;The University of Alabama;USA;
2011;main;Paolo Tonella;Fondazione Bruno Kessler;Italy;
2011;main;Rainer Koschke;University of Bremen;Germany;
2011;main;Reid Holmes;University of Waterloo;Canada;
2011;main;Rocco Oliveto;University of Molise;Italy;
2011;main;Romain Robbes;University of Chile;Chile;
2011;main;Serge Demeyer;University of Antwerp;Belgium;
2011;main;Spiros Mancoridis;Drexel University;USA;
2011;main;Thomas Fritz;University of British Columbia;Canada;
2011;main;Tudor Girba;University of Bern;Switzerland;
2011;main;Vassilios Tzerpos;York University;Canada;
2011;main;Yann-Gaël Guéhéneuc;Ecole Polytechnique de Montréal;Canada;
2011;main;Ying Zou;Queen’s University;Canada;
2011;main;Zhenchang Xing;National University of Singapore;Singapore;
2011;main;Jim Buckley;University of Limerick;Ireland;
2011;main;Elliot Chikofsky;Engineering Management & Integration;USA;
2011;main;Martin Pinzger;Delft University of Technology;The Netherlands;
2011;main;Denys Poshyvanyk;The College of William and Mary;USA;
2010;main;Elliot Chikofsky;Engineering Management & Integration - USA;;
2010;main;Martin Pinzger;Delft University of Technology;The Netherlands;
2010;main;Giuliano Antoniol;Polytechnic School of Montreal;Canada;
2010;main;Ahmed E. Hassan;Queen's University;Canada;
2010;main;Andreas Winter;University of Mainz;Germany;
2010;main;Andy Zaidman;Delft University of Technology;The Netherlands;
2010;main;Anthony Cleve;INRIA Lille;France;
2010;main;Arie van Deursen;Delft University of Technology;The Netherlands;
2010;main;Bram Adams;Queen's University;Canada;
2010;main;Chanchal K. Roy;University of Saskatchewan;Canada;
2010;main;Claudio Riva;Nokia;Finland;
