2012;main;Tudor Girba;;;;
2012;main;Michael W. Godfrey;;;;
2012;main;Jesus M. Gonzalez-Barahona;;;;
2012;main;Abdelwahab Hamou-Lhadj;;;;
2012;main;Emily Hill;;;;
2012;main;Abram Hindle;;;;
2012;main;Reid Holmes;;;;
2012;main;Elmar Juergens;;;;
2012;main;Andy Kellens;;;;
2012;main;Sunghun Kim;;;;
2012;main;Jens Krinke;;;;
2012;main;Irwin Kwan;;;;
2012;main;Dawn Lawrie;;;;
2012;main;Alessandro Marchetto;;;;
2012;main;Leon Moonen;;;;
2012;main;Oscar Nierstrasz;;;;
2012;main;Chris Parnin;;;;
2012;main;Martin Pinzger;;;;
2012;main;Denys Poshyvanyk;;;;
2012;main;Romain Robbes;;;;
2012;main;Kevin Schneider;;;;
2012;main;Alexander Serebrenik;;;;
2012;main;Andreas Stefik;;;;
2012;main;Eleni Stroulia;;;;
2012;main;Lin Tan;;;;
2012;main;Alexandru Telea;;;;
2012;main;Marco Torchiano;;;;
2012;main;Christoph Treude;;;;
2012;main;Zhenchang Xing;;;;
2011;main;Giuliano Antoniol;Ecole Polytechnique de Montreal;Canada;;
2011;main;Lerina Aversano;University of Sannio;Italy;;
2011;main;Árpád Beszédes;University of Szeged;Hungary;;
2011;main;Dirk Beyer;University of Passau;Germany;;
2011;main;Sue Black;University College London;UK;;
2011;main;Jim Buckley;University of Limerick;Ireland;;
2011;main;Michael L. Collard;The University of Akron;USA;;
2011;main;James R. Cordy;Queen's University;Canada;;
2011;main;Marco D'Ambros;University of Lugano;Switzerland;;
2011;main;Andrea De Lucia;Universita di Salerno;Italy;;
2011;main;Scott Fleming;Oregon State University;USA;;
2011;main;Keith Gallagher;Florida Institute of Technology;USA;;
2011;main;Gerald C. Gannod;Miami University;USA;;
2011;main;Scanniello Giuseppe;University of Basilicata;Italy;;
2011;main;Nicolas Gold;King's College;UK;;
2011;main;Yann-Gaël Guéhéneuc;Ecole Polytechnique de Montreal;Canada;;
2011;main;Abdelwahab Hamou-Lhadj;Concordia Unversity;Canada;;
2011;main;Mark Harman;King's College;UK;;
2011;main;Abram Hindle;University of California;Davis;USA;
2011;main;Reid Holmes;University of Waterloo;Canada;;
2011;main;Daqing Hou;Clarkson University;USA;;
2011;main;Jan Jurjens;TU Dortmund & Fraunhofer ISST;Germany;;
2011;main;Holger Kienle;University of Victoria;Canada;;
2011;main;Charles Knutson;Brigham Young University;USA;;
2011;main;Rainer Koschke;University of Bremen;Germany;;
2011;main;Nicholas A. Kraft;The University of Alabama;USA;;
2011;main;Michele Lanza;University of Lugano;Switzerland;;
2011;main;Dawn Lawrie;Loyola College in Maryland;USA;;
2011;main;Timothy Lethbridge;University of Ottawa;Canada;;
2011;main;Jonathan Maletic;Kent State University;USA;;
2011;main;Spiros Mancoridis;Drexel University;USA;;
2011;main;Alessandro Marchetto;FBK-IRST;Italy;;
2011;main;Andrian Marcus;Wayne State University;USA;;
2011;main;Radu Marinescu;University of Timisoara;Romania;;
2011;main;Naouel Moha;University of Quebec a Montreal;Canada;;
2011;main;Rocco Oliveto;University of Molise;Italy;;
2011;main;Martin Pinzger;TU Delft Netherlands;The Netherlands;;
2011;main;Vaclav Rajlich;Wayne State University;USA;;
2011;main;Pedro Rangel Henriques;Universidade do Minho;Portugal;;
2011;main;Marc Roper;University of Strathclyde;UK;;
2011;main;Kamran Sartipi;McMaster University;Canada;;
2011;main;Kevin Schneider;University of Saskatchewan;Canada;;
2011;main;Ladan Tahvildari;University of Waterloo;USA;;
2011;main;Paolo Tonella;FBK-IRST;Italy;;
2011;main;Marco Torchiano;Politecnico di Torino;Italy;;
2011;main;Vassilios Tzerpos;York University;Canada;;
2011;main;Arie van Deursen;TU Delft;The Netherlands;;
2011;main;Neil Walkinshaw;University of Leicester;UK;;
2011;main;Andreas Winter;Carl von Ossietzky University;Germany;;
2011;main;Andy Zaidman;TU Delft;The Netherlands;;
2011;main;Ying Zou;Queen's University;Canada;;
2011;main;Susan Elliott Sim;University of California;Irvine;USA;
2011;main;Filippo Ricca;Università di Genoa;Italy;;
2011;main;Thomas R. Dean;Queen’s University;Canada;;
2010;main;Pedro Rangel Henriques;Universidade do Minho;Portugal;;
2010;main;Giuliano Antoniol;Ecole Polytechnique de Montreal;Canada;;
2010;main;Keith Gallagher;University of Durham;UK;;
2010;main;Alberto Sillitti;Free University of Bolzano-Bozen;Italy;;
2010;main;Andrea De Lucia;Universita di Salerno;Italy;;
