2012;external;Leen Lambers;
2012;external;Andreas Seibel;
2012;external;Saswat Anand;
2012;external;Eitan Farchi;
2012;external;Da Young Lee;
2012;external;Francisco Servant;
2012;external;Venera Arnaoudova;
2012;external;Fabiano Ferrari;
2012;external;Otavio Lemos;
2012;external;John Slankas;
2012;external;Shay Artzi;
2012;external;Pat Francis;
2012;external;Xiao Liu;
2012;external;Ben Smith;
2012;external;Fernando Asteasuain;
2012;external;Gregor Gabrysiak;
2012;external;Nicolas Lopez;
2012;external;Will Snipes;
2012;external;George Baah;
2012;external;Xi Ge;
2012;external;Andreas Metzger;
2012;external;Yoonki Song;
2012;external;Sushil Bajracharya;
2012;external;Latifa Guerrouj;
2012;external;Pat Morrison;
2012;external;Francesco Sorrentino;
2012;external;Basil Becker;
2012;external;Qiang He;
2012;external;Leonardo Murta;
2012;external;Kyle Strasser;
2012;external;Luca Berardinelli;
2012;external;Regina Hebig;
2012;external;Stefan Neumann;
2012;external;Vanessa Stricker;
2012;external;Michael D. Bond;
2012;external;Eric Helms;
2012;external;Joel Ossher;
2012;external;Catia Trubiani;
2012;external;Guido de Caso;
2012;external;Stephan Hildebrandt;
2012;external;Sangmin Park;
2012;external;Rachel Tzoref-Brill;
2012;external;Christina Chavez;
2012;external;Nicolas D'Ippolito;
2012;external;Esteban Pavese;
2012;external;Thomas Vogel;
2012;external;Shauvik Roy;
2012;external;Choudhary Brittany;
2012;external;Johnson Leandro;
2012;external;Sales Pinto;
2012;external;Sebastian Wätzoldt;
2012;external;Hernan Czemerinski;
2012;external;Sharon Keidar-Barner;
2012;external;Feng Qin;
2012;external;Thorsten Weyer;
2012;external;Fang Deng;
2012;external;Donghoon Kim;
2012;external;Hitesh Sajnani;
2012;external;Wei Wu;
2012;external;Nicholas DiGiuseppe;
2012;external;Jason King;
2012;external;Fernando Schapachnik;
2012;external;Shundan Xiao;
2012;external;Juergen Dingel;
2012;external;Christian Krause;
2012;external;Itai Segall;
2012;external;Guoqing Xu;
2012;sw_eng_in_practice;Wolfgang Emmerich;Zühlke Engineering, UK (Co-Chair)
2012;sw_eng_in_practice;Michael W. Whalen;University of Minnesota, USA
2012;sw_eng_in_practice;Paul Brebner;NICTA, Australia
2012;sw_eng_in_practice;Rance Cleaveland;Univ. of Maryland / Fraunhofer CESE, USA
2012;sw_eng_in_practice;Dimitra Giannakopoulou;NASA, USA
2012;sw_eng_in_practice;Mark Grechanik;Accenture Technology Labs / University of Illinois at Chicago, USA
2012;sw_eng_in_practice;Volker Gruhn;Adesso / University of Duisburg-Essen, Germany
2012;sw_eng_in_practice;Thomas Gschwind;IBM, Switzerland
2012;sw_eng_in_practice;Michael Hirsch;Zuhlke Engineering AG, Switzerland
2012;sw_eng_in_practice;Gerard Holzmann;Jet Propulsion Laboratory, USA
2012;sw_eng_in_practice;Mikael Lindvall;Fraunhofer CESE, USA
2012;sw_eng_in_practice;Andy Maule;Microsoft, UK
2012;sw_eng_in_practice;Christian Nentwich;Model Two Zero, UK
2012;sw_eng_in_practice;John Penix;Google, USA
2012;sw_eng_in_practice;Nat Price;Technemetis Ltd., UK
2012;sw_eng_in_practice;Dieter Rombach;Fraunhofer IESE, Germany
2012;sw_eng_in_practice;Wolfram Schulte;Microsoft, USA
2012;sw_eng_in_practice;Tom Sprenger;AdNovum, Switzerland
2012;sw_eng_in_practice;Jeff Thompson;Boston Scientific, USA
2012;nier;Antonia Bertolino;ISTI-CNR, Italy
2012;nier;Alexander L. Wolf;Imperial College London, UK
