2010;nier;Ivica Crnkovic;Mälardalen University, Sweden
2010;nier;Steve Easterbrook;University of Toronto, Canada
2010;nier;Kokichi Futatsugi;Japan Advanced Institute of Science and Technology, Japan
2010;nier;Michael Godfrey;University of Waterloo, Canada
2010;nier;Mary Jean Harrold;Georgia Institute of Technology, USA
2010;nier;Jean-Marc Jezequel;INRIA and Université de Rennes 1, France
2010;nier;Christine Julien;University of Texas at Austin, USA
2010;nier;Sung Kim;Hong Kong University of Science and Technology, Hong Kong
2010;nier;Radu Marinescu;Politehnica University of Timisoara, Romania
2010;nier;Mayur Naik;Intel Research Berkeley, USA
2010;nier;Kumiyo Nakakoji;SRA-KTL Inc. and University of Tokyo, Japan
2010;nier;Linda Northrop;Software Engineering Institute, USA
2010;nier;Mauro Pezze;University of Lugano, Switzerland and University of Milano Bicocca, Italy
2010;nier;Narayan Ramasubbu;Singapore Management University, Singapore
2010;nier;Sriram Sankaranarayanan;University of Colorado at Boulder, USA
2010;nier;Koushik Sen;University of California, Berkeley, USA
2010;nier;Diomidis Spinellis;Athens University of Economics and Business, Greece
2010;nier;Paul Strooper;University of Queensland, Australia
2010;nier;Arie van Deursen;Delft University of Technology, The Netherlands
2010;nier;Hans van Vliet;Vrije Universiteit, The Netherlands
2010;nier;Eran Yahav;IBM Research, USA
2010;nier;Yun Yang;Swinburne University of Technology, Australia
2009;main;Stephen Fickas;University of Oregon, USA
2009;main;Paola Inverardi;Universita dell’Aquila, Italy
2009;main;Joanne M. Atlee;University of Waterloo, Canada
2009;main;Antonia Bertolino;ISTI-CNR, Italy
2009;main;Lionel Briand;Simula Research Laboratory & University of Oslo, Norway
2009;main;Betty Cheng;Michigan State University, USA
2009;main;S.C. Cheung;Hong Kong University of Science and Technology, Hong Kong
2009;main;Vittorio Cortellessa;Universita dell’Aquila, Italy
2009;main;Krzysztof Czarnecki;University of Waterloo, Canada
2009;main;Robert DeLine;Microsoft Research, USA
2009;main;Prem Devanbu;University of California at Davis, USA
2009;main;Matthew B. Dwyer;University of Nebraska - Lincoln, USA
2009;main;Steve Easterbrook;University of Toronto, Canada
2009;main;Sebastian Elbaum;University of Nebraska - Lincoln, USA
2009;main;Wolfgang Emmerich;University College London, UK
2009;main;Kokichi Futatsugi;Japan Advanced Institute of Science and Technology, Japan
2009;main;Holger Giese;Hasso Plattner Institute, Germany
2009;main;Volker Gruhn;University of Leipzig, Germany
2009;main;John Grundy;University of Auckland, New Zealand
2009;main;Tibor Gyimothy;University of Szeged, Hungary
2009;main;Andre van der Hoek;University of California at Irvine, USA
2009;main;Valerie Issarny;INRIA, France
2009;main;Pankaj Jalote;IIT Delhi, India
2009;main;Jean-Marc Jezequel;INRIA & Univ. Rennes 1, France
2009;main;Jeffrey Kramer;Imperial College London, UK
2009;main;Axel van Lamsweerde;Universite Catholique de Louvain, Belgium
2009;main;Nenad Medvidovic;University of Southern California, USA
2009;main;Elisabetta Di Nitto;Politecnico di Milano, Italy
2009;main;Harold Ossher;IBM T.J. Watson Research Center, USA
2009;main;Corina Pasareanu;NASA Ames, USA
2009;main;Massimiliano Di Penta;University of Sannio, Italy
2009;main;Mauro Pezze;University of Lugano, Switzerland and University of Milano Bicocca, Italy
2009;main;Gian Pietro Picco;University of Trento, Italy
2009;main;Klaus Pohl;University Duisburg-Essen, Germany
2009;main;Martin Robillard;McGill University, Canada
2009;main;William Robinson;Georgia State University, USA
2009;main;Barbara G. Ryder;Virginia Tech, USA
2009;main;Margaret-Anne Storey;University of Victoria, Canada
2009;main;Zhendong Su;University of California at Davis, USA
2009;main;Frank Tip;IBM T.J. Watson Research Center, USA
2009;main;Sebastian Uchitel;University of Buenos Aires, Argentina and Imperial College London, UK
2009;main;Claes Wohlin;Blekinge Institute of Technology, Sweden
2009;main;Alexander L. Wolf;Imperial College London, UK
2009;main;Jian Zhang;Chinese Academy of Sciences, China
2009;external;Dalal Alrajeh;
2009;external;Michal Antkiewicz;
2009;external;Jorge Aranda;
2009;external;Erik Arisholm;
2009;external;Matthew Arnold;
2009;external;Shay Artzi;
2009;external;Fernando Asteasuain;
2009;external;George Baah;
2009;external;Tibor Bakota;
2009;external;Oliver Barais;
2009;external;Thiago Bartolomei;
2009;external;Benoit Baudry;
2009;external;Basil Becker;
2009;external;Luca Berardinelli;
2009;external;Christian Bird;
2009;external;Victor Braberman;
2009;external;Ian Bull;
2009;external;Kai-Yuan Cai;
2009;external;Mauro Caporuscio;
2009;external;Roberto Speicys Cardoso;
2009;external;Guido de Caso;
2009;external;Luca Cavallaro;
2009;external;Matteo Ceriotti;
2009;external;Satish Chandra;
2009;external;Yuki Chiba;
2009;external;Antonio Cicchetti;
2009;external;Hernan Czemerinski;
2009;external;Nicolas D'Ippolito;
2009;external;Barthelemy Dagenais;
2009;external;Giovanni Denaro;
2009;external;Zinovy Diskin;
2009;external;Ekwa Duala-Ekoko;
2009;external;Naranker Dulay;
2009;external;Sean Falconer;
2009;external;Stephen Fink;
2009;external;Dario Fischbein;
2009;external;Ferenc Fischer;
2009;external;Marc Fisher;
2009;external;Lajos Fulop;
2009;external;Carlo A. Furia;
2009;external;Mark Gabel;
2009;external;Juan Pablo Galeotti;
2009;external;Diego Garbervetsky;
2009;external;Andreas Gehlert;
2009;external;Tamas Gergely;
2009;external;Alessandra Gorla;
2009;external;Lars Grammel;
2009;external;Ştefan Gună;
2009;external;Cyrus Hall;
2009;external;Ferenc Havasi;
2009;external;Will Heaven;
2009;external;Hadi Hemmati;
2009;external;Maleh Hernandez;
2009;external;Stephan Hildebrandt;
2009;external;Marc Fisher II;
2009;external;Judit Jasz;
2009;external;Lingxiao Jiang;
2009;external;Sarfraz Khurshid;
2009;external;Akos Kiss;
2009;external;Jacques Klein;
2009;external;Christos Kloukinas;
2009;external;Alexander Lamaison;
2009;external;Herman Lee;
2009;external;Jeff Magee;
2009;external;Fabio Mancinelli;
2009;external;Leonardo Mariani;
2009;external;Jason Medeiros;
2009;external;Peter Mehlitz;
2009;external;Andreas Metzger;
2009;external;Ana Milanova;
2009;external;Raffaela Mirandola;
2009;external;Andrea Mocci;
2009;external;Naouel Moha;
2009;external;Leon Moonen;
2009;external;Brice Morin;
2009;external;Luca Mottola;
2009;external;Freddy Munoz;
2009;external;Del Myers;
2009;external;Csaba Nagy;
2009;external;Masaki Nakamura;
2009;external;Stefan Neumann;
2009;external;T.H. Ng;
2009;external;Moti Nisenson;
2009;external;Kazuhiro Ogata;
2009;external;Rajwinder Panesar-Walawege;
2009;external;Esteban Pavese;
2009;external;Gilles Perrouin;
2009;external;Marco Pistoia;
2009;external;Pasqualina Potena;
2009;external;Matteo Pradella;
2009;external;Peter Rigby;
2009;external;Matteo Rossi;
2009;external;Nasko Rountev;
2009;external;Jan Rupar;
2009;external;Alessandra Russo;
2009;external;Matthew J. Rutherford;
2009;external;Antonino Sabetta;
2009;external;Fernando Schapachnik;
2009;external;Andreas Seibel;
2009;external;Takahiro Seino;
2009;external;Sagar Sen;
2009;external;Gary Sevitsky;
2009;external;Steven She;
2009;external;Wuwei Shen;
2009;external;German Sibay;
2009;external;Istvan Siket;
2009;external;Ernst Sikora;
2009;external;Paola Spoletini;
2009;external;Witawas Srisa-an;
2009;external;Gerson Sunyé;
2009;external;Daniel Sykes;
2009;external;Giordano Tamburrelli;
2009;external;Oksana Tkachuk;
2009;external;Gabriella Toth;
2009;external;Christoph Treude;
2009;external;Catia Trubiani;
2009;external;Laszlo Vidacs;
2009;external;Willem Visser;
2009;external;Thomas Vogel;
2009;external;Linzhang Wang;
2009;external;Xinming Wang;
2009;external;Kong Weiqiang;
2009;external;Greg Wilson;
2009;external;Jan Wloka;
2009;external;Eric Wong;
2009;external;Jochen Wuttke;
2009;external;Harry Xu;
2009;external;Zhongxing Xu;
2009;external;Jun Yan;
2009;external;Apostolos Zarras;
2009;external;Charles Zhang;
2009;external;Jianjun Zhao;
2009;external;Tricia d'Entremont;
2009;nier;Victor Braberman;Universidad de Buenos Aires, Argentina
2009;nier;Gerardo Canfora;University of Sannio, Italy
2009;nier;Carlo Ghezzi;Politecnico di Milano, Italy
2009;nier;Dimitra Giannakopoulou;RIACS/NASA Ames, USA
2009;nier;Paul Gruehnbacher;Johannes Kepler University Linz, Austria
2009;nier;Katsuro Inoue;Osaka University, Japan
2009;nier;Michele Lanza;University of Lugano, Switzerland
2009;nier;Jeff Magee;Imperial College London, UK
2009;nier;Gail Murphy;University of British Columbia, Canada
2009;nier;Bashar Nuseibeh;The Open University, UK
2009;nier;Wilhelm Schafer;University of Paderborn, Germany
2009;nier;Kevin Sullivan;University of Virginia, USA
2009;nier;Willem Visser;SEVEN Networks, USA
2009;nier;Andreas Zeller;Saarland University, Germany
2009;nier-external;Domenico Bianculli;
2009;nier-external;Christian Bimmermann;
2009;nier-external;Guido de Caso;
2009;nier-external;Luigi Cerulo;
2009;nier-external;Hernan Czemerinski;
2009;nier-external;Markus von Detten;
2009;nier-external;Mauro Luigi Drago;
2009;nier-external;Marco Funaro;
2009;nier-external;Diego Garbervetsky;
2009;nier-external;Joel Greenyer;
2009;nier-external;Lile Hattori;
2009;nier-external;Martin Hirsch;
2009;nier-external;Jorg Holtmann;
2009;nier-external;Jan Meyer;
2009;nier-external;Esteban Pavese;
2009;nier-external;Massimiliano Di Penta;
2009;nier-external;Suzette Person;
2009;nier-external;Claudia Priesterjahn;
2009;nier-external;Jan Rieke;
2009;nier-external;Fernando Schapachnik;
2009;nier-external;German Sibay;
2009;nier-external;Oliver Sudmann;
2009;nier-external;Matthias Tichy;
2009;nier-external;Dietrich Travkin;
2009;nier-external;Sebastian Uchitel;
2009;nier-external;Eugenio Zimeo;
2008;main;Wilhelm Schafer;University of Paderborn, Germany
2008;main;Volker Gruhn;University of Leipzig, Germany
2008;main;Matthew B. Dwyer;University of Nebraska - Lincoln, USA
2008;main;Joanne M. Atlee;University of Waterloo, Canada
2008;main;Antonia Bertolino;ISTI-CNR, Italy
2008;main;Bernd Bruegge;Technische Universitaet Muenchen, Germany
2008;main;Ivica Crnkovic;Mälardalen University, Sweden
2008;main;Lori A. Clarke;University of Massachusetts, USA
2008;main;Harald Gall;University of Zurich, Switzerland
2008;main;Carlo Ghezzi;Politecnico di Milano, Italy
2008;main;Tibor Gyimothy;University of Szeged, Hungary
2008;main;Wilhelm Hasselbring;University of Oldenburg, Germany
2008;main;James Herbsleb;Carnegie Mellon University, USA
2008;main;Paola Inverardi;Universita dell’Aquila, Italy
2008;main;Jean-Marc Jezequel;INRIA and Université de Rennes 1, France
2008;main;John C. Knight;University of Virginia, USA
2008;main;Mingshu Li;Chinese Academy of Sciences, China
2008;main;Peter Liggesmeyer;Fraunhofer IESE and University of Kaiserslautern, Germany
2008;main;Robyn Lutz;Iowa State University and Jet Propulsion Lab, USA
2008;main;Cecilia Mascolo;University College London, UK
2008;main;Jeff Magee;Imperial College London, UK
2008;main;Nenad Medvidovic;University of Southern California, USA
2008;main;Atif Memon;University of Maryland, USA
2008;main;Hausi A. Muller;University of Victoria, Canada
2008;main;Gail Murphy;University of British Columbia, Canada
2008;main;Kumiyo Nakakoji;University of Tokyo/SRA-KTL Inc., Japan
2008;main;Bashar Nuseibeh;The Open University, UK
2008;main;Flavio Oquendo;University of South Brittany, France
2008;main;Corina Pasareanu;NASA Ames Research Center, USA
2008;main;Klaus Pohl;University of Limerick, Ireland and University of Duisburg-Essen, Germany
2008;main;Kevin Ryan;University of Limerick, Ireland
2008;main;Sriram K. Rajamani;Microsoft Research, India
2008;main;Gregg Rothermel;University of Nebraska - Lincoln, USA
2008;main;Margaret-Anne Storey;University of Victoria, Canada
2008;main;Zhendong Su;University of California at Davis, USA
2008;main;Tetsuo Tamai;University of Tokyo, Japan
2008;main;Peri Tarr;IBM T.J. Watson Research Center, USA
2008;main;Frank Tip;IBM T.J. Watson Research Center, USA
2008;main;Sebastian Uchitel;University of Buenos Aires, Argentina and Imperial College London, UK
2008;main;Andre van der Hoek;University of California at Irvine, USA
2008;main;Yun Yang;Swinburne University of Technology, Australia
2008;external;Lilith Al-Jadiri;
2008;external;Guglielmo De Angelis;
2008;external;John Anvik;
2008;external;Jim Apple;
2008;external;Ove Armbrust;
2008;external;Fernando Asteasuain;
2008;external;Marco Autili;
2008;external;Tibor Bakota;
2008;external;Liam Bannon;
2008;external;Oliver Barais;
2008;external;Luciano Baresi;
2008;external;Benoit Baudry;
2008;external;Paolo Di Benedetto;
2008;external;Chris Bennett;
2008;external;Arpad Beszedes;
2008;external;Domenico Bianculli;
2008;external;Mihaela Gheorghiu Bobaru;
2008;external;Sandro Boccuzzo;
2008;external;Amancio Bouza;
2008;external;Victor Braberman;
2008;external;Guillaume Brat;
2008;external;Lionel Briand;
2008;external;Ian Bull;
2008;external;Marcelo Cataldo;
2008;external;Antonio Cicchetti;
2008;external;Heather Conboy;
2008;external;Vittorio Cortellessa;
2008;external;Gianpaolo Cugola;
2008;external;Joern David;
2008;external;Josh Dehlinger;
2008;external;Uri Dekel;
2008;external;Ron Desmarais;
2008;external;Isil Dillig;
2008;external;Thomas Dillig;
2008;external;Michael Eisenbarth;
2008;external;Wolfgang Emmerich;
2008;external;Sean Falconer;
2008;external;Rudolf Ferenc;
2008;external;Juan Fernandez Ramil;
2008;external;Franck Fleurey;
2008;external;Beat Fluri;
2008;external;Thomas Fritz;
2008;external;Lajos Fulop;
2008;external;Carlo A. Furia;
2008;external;Mark Gabel;
2008;external;Juan Pablo Galeotti;
2008;external;Tamas Gergely;
2008;external;Emanuel Giger;
2008;external;Madhu Gopinathan;
2008;external;Lars Grammel;
2008;external;Jeff Gray;
2008;external;Stefan Gudenkauf;
2008;external;Charles Haley;
2008;external;Mary Hall;
2008;external;Jens Heidrich;
2008;external;Jonas Helming;
2008;external;Jason Hiser;
2008;external;Andre van Hoorn;
2008;external;Atsushi Igarashi;
2008;external;Michael Jackson;
2008;external;Judit Jasz;
2008;external;Lingxiao Jiang;
2008;external;Jan Jurjens;
2008;external;Raghavendra K.R.;
2008;external;Piotr Kaminski;
2008;external;Toshihiro Kamiya;
2008;external;Holger Kienle;
2008;external;Miryung Kim;
2008;external;Akos Kiss;
2008;external;Tim Klinger;
2008;external;Patrick Knab;
2008;external;Andrew Ko;
2008;external;Maximilian Koegel;
2008;external;Thomas LaToza;
2008;external;Robin Laney;
2008;external;Kim Lauenroth;
2008;external;Seonah Lee;
2008;external;Ben Liblit;
2008;external;Bev Littlewood;
2008;external;Jing (Janet) Liu;
2008;external;Matias Lorger;
2008;external;Eda Marchetti;
2008;external;Antinisca Di Marco;
2008;external;Jasminka Matevska;
2008;external;Andrew McVeigh;
2008;external;Krishna Mehra;
2008;external;Robert Merkel;
2008;external;Andreas Metzger;
2008;external;Raffaela Mirandola;
2008;external;Ghassan Misherghi;
2008;external;Osamu Mizuno;
2008;external;Andrea Mocci;
2008;external;Jonathan Moffett;
2008;external;Gianpiero Monaco;
2008;external;Mattia Monga;
2008;external;Brice Morin;
2008;external;Luca Mottola;
2008;external;Jean-Marie Mottu;
2008;external;Freddy Munoz;
2008;external;Shiva Nejati;
2008;external;Heiko Niemann;
2008;external;Michael Ochs;
2008;external;Lucas Panjer;
2008;external;Esteban Pavese;
2008;external;Holger Peine;
2008;external;Patrizio Pelliccione;
2008;external;Marian Petre;
2008;external;Martin Pinzger;
2008;external;Marco Pistoia;
2008;external;Jan Ploski;
2008;external;Andrea Polini;
2008;external;Carlos Lopez Pombo;
2008;external;Claudia Pons;
2008;external;Blaine Price;
2008;external;Venkatesh-Prasad Ranganath;
2008;external;Gerald Reif;
2008;external;Peter Rigby;
2008;external;Hugh Robinson;
2008;external;Matthias Rohr;
2008;external;Matteo Rossi;
2008;external;Davide Di Ruscio;
2008;external;Jody Ryall;
2008;external;Barbara Ryder;
2008;external;Antonino Sabetta;
2008;external;Mohammed Salifu;
2008;external;Fernando Schapachnik;
2008;external;Guido Scherp;
2008;external;Jennifer Schiller;
2008;external;Gary Sevitsky;
2008;external;David Shepherd;
2008;external;Kaitlin Duck Sherwood;
2008;external;German Sibay;
2008;external;Jeremy Siek;
2008;external;Anders Sigfridsson;
2008;external;Istvan Siket;
2008;external;Ernst Sikora;
2008;external;Leo Spatzholtz;
2008;external;Paola Spoletini;
2008;external;Ulrike Steffens;
2008;external;Niels Streekmann;
2008;external;Ahyoung Sung;
2008;external;Stan Sutton;
2008;external;Giordano Tamburrelli;
2008;external;Sarah Thompson;
2008;external;Anil Kumar Thurimella;
2008;external;Massimo Tivoli;
2008;external;Yves Le Traon;
2008;external;Adam Trendowicz;
2008;external;Christoph Treude;
2008;external;Thein Than Tun;
2008;external;Bil Tzerpos;
2008;external;Kapil Vaswani;
2008;external;Laszlo Vidacs;
2008;external;Qing Wang;
2008;external;Shangzhu Wang;
2008;external;Timo Warns;
2008;external;Gary Wassermann;
2008;external;Michel Wermelinger;
2008;external;Jan Wloka;
2008;external;Michael Wuersch;
2008;external;Jun Yan;
2008;external;Ye Yang;
2008;external;Yunwen Ye;
2008;external;Yijun Yu;
2007;main;John C. Knight;University of Virginia, USA
2007;main;Wolfgang Emmerich;University College London, UK
2007;main;Gregg Rothermel;University of Nebraska - Lincoln, USA
2007;main;Joanne M. Atlee;University of Waterloo, Canada
2007;main;Judith Bishop;University of Pretoria, South Africa
2007;main;Victor Braberman;Universidad de Buenos Aires, Argentina
2007;main;Margaret Burnett;Oregon State University, USA
2007;main;S.C. Cheung;Hong Kong University of Science and Technology, Hong Kong
2007;main;Giovanni Denaro;Universitá di Milano-Bicocca, Italy
2007;main;Matthew Dwyer;University of Nebraska - Lincoln, USA
2007;main;Jacky Estublier;Grenoble University, France
2007;main;Anthony Finkelstein;University College London, UK
2007;main;Harald Gall;University of Zurich, Switzerland
2007;main;Carlo Ghezzi;Politecnico di Milano, Italy
2007;main;Dimitra Giannakopoulou;RIACS/NASA Ames, USA
2007;main;Paul Gruehnbacher;Johannes Kepler University Linz, Austria
2007;main;Volker Gruhn;University of Leipzig, Germany
2007;main;John Grundy;University of Auckland, New Zealand
2007;main;Rachel Harrison;University of Reading, UK
2007;main;Jens H. Jahnke;University of Victoria, Canada
2007;main;Richard A. Kemmerer;University of California, Santa Barbara, USA
2007;main;Jeffrey Kramer;Imperial College London, UK
2007;main;Bev Littlewood;City University, London, UK
2007;main;Gail Murphy;University of British Columbia, Canada
2007;main;Amy L. Murphy;ITC-IRST, Italy and University of Lugano, Switzerland
2007;main;Kumiyo Nakakoji;University of Tokyo/SRA-KTL Inc., Japan
2007;main;Gian Pietro Picco;University of Trento, Italy
2007;main;Atanas Rountev;Ohio State University, USA
2007;main;Mary Lou Soffa;University of Virginia, USA
2007;main;Kevin Sullivan;University of Virginia, USA
2007;main;Tetsuo Tamai;University of Tokyo, Japan
2007;main;Peri Tarr;IBM T.J. Watson Research Center, USA
2007;main;Richard N. Taylor;University of California at Irvine, USA
2007;main;Walter Tichy;University of Karlsruhe, Germany
2007;main;Willem Visser;RIACS/NASA Ames, USA
2007;main;Harold Ossher;IBM T.J. Watson Research Center, USA
2007;external;John Anvik;
2007;external;Ove Armbrust;
2007;external;Matthew Arnold;
2007;external;Fernando Asteasuain;
2007;external;Rodolfo Baader;
2007;external;Domenico Bianculli;
2007;external;Stefan Biffl;
2007;external;Sören Blom;
2007;external;Matthias Book;
2007;external;Guillaume Brat;
2007;external;Christian Bunse;
2007;external;Guido de Caso;
2007;external;W. K. Chan;
2007;external;T.Y. Chen;
2007;external;Marcus Ciolkowski;
2007;external;William Cook;
2007;external;Paolo Costa;
2007;external;Krzysztof Czarnecki;
2007;external;Eric Dashofy;
2007;external;Christian Denger;
2007;external;Ewen Denney;
2007;external;Prem Devanbu;
2007;external;Deepak Dhungana;
2007;external;Naranker Dulay;
2007;external;Sebastian Elbaum;
2007;external;Beat Fluri;
2007;external;Thomas Fritz;
2007;external;Juan Pablo Galeotti;
2007;external;Diego Garbervetsky;
2007;external;Valentina Grigoreanu;
2007;external;Michael Godfrey;
2007;external;Richard Hall;
2007;external;Jan Hannemann;
2007;external;Jens Heidrich;
2007;external;Michael Huth;
2007;external;Derek Inman;
2007;external;Valerie Issarny;
2007;external;Scott Kagan;
2007;external;Toshihiro Kamiya;
2007;external;Gregory Kapfhammer;
2007;external;Jared Kaplan;
2007;external;Raffi Khatchadourian;
2007;external;Nicolas Kicillof;
2007;external;Tim Klinger;
2007;external;Christos Kloukinas;
2007;external;Patrick Knab;
2007;external;Ralf Laue;
2007;external;Joseph Lawrance;
2007;external;Jaejoon Lee;
2007;external;Seonah Lee;
2007;external;Christof Lutteroth;
2007;external;Jeff Magee;
2007;external;Andrew Malton;
2007;external;Hidehiko Masuhara;
2007;external;Andrew McVeigh;
2007;external;Peter Mehlitz;
2007;external;Ana Milanova;
2007;external;Luca Mottola;
2007;external;Juergen Muench;
2007;external;Dirk Muthig;
2007;external;Vaishnavi Narayanan;
2007;external;Roland Neumann;
2007;external;Tsz-Hin NG;
2007;external;Masao Ohira;
2007;external;Alfredo Olivero;
2007;external;Adeniyi Onabajo;
2007;external;Filippo Pacifici;
2007;external;Frank Padberg;
2007;external;Amit Paradkar;
2007;external;Corina Pasareanu;
2007;external;Martin Pinzger;
2007;external;Carlos Lopez Pombo;
2007;external;Claudia Pons;
2007;external;Rick Rabiser;
2007;external;Gerald Reif;
2007;external;Thomas Richter;
2007;external;Christophe Rippert;
2007;external;Dieter Rombach;
2007;external;Izzet Safer;
2007;external;Guillaume Salagnac;
2007;external;Jason Sawin;
2007;external;Clemens Schäfer;
2007;external;Fernando Schapachnik;
2007;external;Petri Selonen;
2007;external;Kaitlin Duck Sherwood;
2007;external;Fritz Stallinger;
2007;external;Neeraja Subrahmaniyan;
2007;external;Sarah Thompson;
2007;external;Adam Trendowicz;
2007;external;Theoharis Tsigritis;
2007;external;Sebastian Uchitel;
2007;external;Vincent Wolff-Marting;
2007;external;Guoqing Xu;
2007;external;Apostolos Zarras;
2006;main;Leon J. Osterweil;University of Massachusetts, USA
2006;main;Dieter Rombach;Technische Universität Kaiserslautern, Germany
2006;main;Mary Lou Soffa;University of Virginia, USA
2006;main;George Avrunin;University of Massachusetts, USA
2006;main;Antonia Bertolino;Consiglio Nazionale delle Ricerche, Italy
2006;main;Lionel Briand;Simula Research Laboratory, Norway
2006;main;Gerardo Canfora;RCOST - University of Sannio, Italy
2006;main;Manuvir Das;Microsoft Research, USA
2006;main;Laura K. Dillon;Michigan State University, USA
2006;main;Wolfgang Emmerich;University College London, UK
2006;main;Jacky Estublier;Grenoble University, France
2006;main;David Evans;University of Virginia, USA
2006;main;Yuxi Fu;Shanghai Jiaotong University, China
2006;main;David Garlan;Carnegie Mellon University, USA
2006;main;Mary Jean Harrold;Georgia Institute of Technology, USA
2006;main;C. Heitmeyer;Naval Research Laboratory, USA
2006;main;Paola Inverardi;Universita dell’Aquila, Italy
2006;main;Mehdi Jazayeri;Technical University of Vienna, Austria & University of Lugano, Switzerland
2006;main;Ross Jeffery;NICTA/UNSW, Australia
2006;main;Natalia Juristo;Universidad Politecnica de Madrid, Spain
2006;main;Kyo C. Kang;Pohang U. of S. & T., S. Korea
2006;main;Richard A. Kemmerer;University of California, Santa Barbara, USA
2006;main;Oliver Laitenberger;Droege & Co., Germany
2006;main;Julio Cesar S. do Prado Leite;PUC-Rio, Brazil
2006;main;Jeff Magee;Imperial College London, UK
2006;main;Kenichi Matsumoto;Nara Institute of Science and Technology, Japan
2006;main;Audris Mockus;Avaya Labs, USA
2006;main;Dirk Muthig;Fraunhofer IESE, Germany
2006;main;Klaus Pohl;University Duisburg-Essen, Germany
2006;main;Lori Pollock;University of Delaware, USA
2006;main;Gregg Rothermel;University of Nebraska - Lincoln, USA
2006;main;Barbara Ryder;Rutgers University, USA
2006;main;Wilhelm Schafer;University of Paderborn, Germany
2006;main;Walter Tichy;University of Karlsruhe, Germany
2006;main;Frank Tip;IBM T.J. Watson Research Center, USA
2006;main;Jian Zhang;Institute of Software, Chinese Academy of Sciences, China
2006;nier;Betty Cheng;Michigan State University, USA
2006;nier;Beijun Shen;ECUST, Shanghai, China
2006;nier;Betty Cheng;Michigan State University, USA
2006;nier;Beijun Shen;ECUST, China
2006;nier;Mikio Aoyama;Nanzan University, Japan
2006;nier;Marsha Chechik;University of Toronto, Canada
2006;nier;Rogerio de Lemos;U. Kent at Canterbury, UK
2006;nier;Carlo Ghezzi;Politecnico di Milano, Italy
2006;nier;Hausi A. Muller;University of Victoria, Canada
2006;nier;Gregg Rothermel;U. of Nebraska-Lincoln, USA
2006;nier;Yannis Smaragdakis;Georgia Tech, USA
2006;nier;Gene Spafford;Purdue University, USA
2006;nier;Kevin Sullivan;University of Virginia, USA
2006;nier;Eric Wohlstadter;U British Columbia, Canada
2006;nier;Li Zhang;Beijing U. of Aero. & Astro., China
2006;nier;Andrea Zisman;City University, London, UK
2006;nier;Didar Zowghi;Univ. of Tech. Sydney, Australia
2006;co-reviewer;Brian de Alwis;
2006;co-reviewer;Michalis Anastasopoulos;
2006;co-reviewer;Guglielmo De Angelis;
2006;co-reviewer;Taweesup Apiwattanapong;
2006;co-reviewer;Myla Archer;
2006;co-reviewer;Erik Arisholm;
2006;co-reviewer;Björn Axenath;
2006;co-reviewer;Thierry Bodhuin;
2006;co-reviewer;Cesare Bartolini;
2006;co-reviewer;Martin Becker;
2006;co-reviewer;Hans Christian Benestad;
2006;co-reviewer;Kathrin Berg;
2006;co-reviewer;Gunnar Bergersen;
2006;co-reviewer;Ramesh Bharadwaj;
2006;co-reviewer;Travis D. Breaux;
2006;co-reviewer;Antonio Bucchiarone;
2006;co-reviewer;Kai-Yuan Cai;
2006;co-reviewer;Ralf Carbon;
2006;co-reviewer;Marico Carbone;
2006;co-reviewer;Luigi Cerulo;
2006;co-reviewer;Richard Chang;
2006;co-reviewer;Owen Cheng;
2006;co-reviewer;Ophelia Chesley;
2006;co-reviewer;Michael Colon;
2006;co-reviewer;Vittorio Cortellessa;
2006;co-reviewer;Karl Cox;
2006;co-reviewer;Michelle L. Crane;
2006;co-reviewer;Christian Denger;
2006;co-reviewer;Hyunsook Do;
2006;co-reviewer;Bruno Dufour;
2006;co-reviewer;Naranker Dulay;
2006;co-reviewer;Amador Duran;
2006;co-reviewer;James Dzidek;
2006;co-reviewer;Xavier Ferré;
2006;co-reviewer;Marc Fisher II;
2006;co-reviewer;Thomas Forster;
2006;co-reviewer;Howard Foster;
2006;co-reviewer;Lars Frantzen;
2006;co-reviewer;Chen Fu;
2006;co-reviewer;Dharmalingam Ganesan;
2006;co-reviewer;Angelo Gargantini;
2006;co-reviewer;Vahid Garousi;
2006;co-reviewer;Matthias Gehrke;
2006;co-reviewer;Michael Goedicke;
2006;co-reviewer;Mark Grechanik;
2006;co-reviewer;Carsten Görg;
2006;co-reviewer;Brian Hackett;
2006;co-reviewer;Stefan Hanenberg;
2006;co-reviewer;Jo Hannay;
2006;co-reviewer;Stefan Henkler;
2006;co-reviewer;Robert Hierons;
2006;co-reviewer;Martin Hirsch;
2006;co-reviewer;Kohei Honda;
2006;co-reviewer;Hiroshi Igaki;
2006;co-reviewer;Tomasz Janowski;
2006;co-reviewer;Ying Jiang;
2006;co-reviewer;Zhi Jin;
2006;co-reviewer;Isabel John;
2006;co-reviewer;James Jones;
2006;co-reviewer;Mary Jean Harrold;
2006;co-reviewer;Jim Jones;
2006;co-reviewer;Vigdis By Kampenes;
2006;co-reviewer;Thorsten Keuler;
2006;co-reviewer;Mohammad Ulah Khan;
2006;co-reviewer;Peter Kim;
2006;co-reviewer;Barbara Kitchenham;
2006;co-reviewer;Florian Klein;
2006;co-reviewer;Jens Knodel;
2006;co-reviewer;Ronny Kolb;
2006;co-reviewer;Jeff Kramer;
2006;co-reviewer;Ted Kremenek;
