2009;main;Julia Lawall;University of Copenhagen;Denmark;
2009;main;Christian Lengauer;Universität Passau;Germany;
2009;main;Andrew Lumsdaine;Indiana University;United States of America;
2009;main;Klaus Ostermann;University of Aarhus;Denmark;
2009;main;Zoltan Porkolab;Eotvos Lorand University;Hungary;
2009;main;Bran V. Selic;Malina Software;Canada;
2009;main;Douglas R. Smith;Kestrel Institute;United States of America;
2009;main;Tetsuo Tamai;University of Tokyo;Japan;
2009;main;Juha-Pekka Tolvanen;MetaCase;Finland;
2009;main;Eelco Visser;Delft University of Technology;The Netherlands;
2009;main;Markus Voelter;itemis AG;Germany;
2009;main;Eric Van Wyk;University of Minnesota;United States of America;
2009;main;Steffen Zschaler;Lancaster University;United Kingdom;
2008;main;Yannis Smaragdakis;University of Oregon;USA;
2008;main;Jeremy Siek;University of Colorado at Boulder;USA;
2008;main;David Abrahams;Boost Consulting;USA;
2008;main;Uwe Aßmann;Technische Universität;Dresden;Germany
2008;main;Ira Baxter;Semantic Designs;USA;
2008;main;Martin Bravenboer;University of Oregon;USA;
2008;main;Jacques Carette;McMaster University;Canada;
2008;main;Shigeru Chiba;Tokyo Institute of Technology;Japan;
2008;main;William R. Cook;University of Texas at Austin;USA;
2008;main;Lidia Fuentes;University of Málaga;Spain;
2008;main;Yossi Gil;The Technion;Israel;
2008;main;Aniruddha Gokhale;Vanderbilt University;USA;
2008;main;Mark Grechanik;Accenture Technology Labs;USA;
2008;main;Stanislaw Jarzabek;National University of Singapore;Singapore;
2008;main;Jaakko Järvi;Texas A&M University;USA;
2008;main;Julia Lawall;DIKU;University of Copenhagen;Denmark
2008;main;Christian Lengauer;University of Passau;Germany;
2008;main;Matthew Marcus;Adobe Systems Inc.;USA;
2008;main;Anne-Francoise Le Meur;University of Lille 1;France;
2008;main;Sibylle Schupp;Chalmers University of Technology;Sweden;
2008;main;Peter Sestoft;IT University of Copenhagen;Denmark;
2008;main;Chung-chieh Shan;Rutgers University;USA;
2008;main;Eric Van Wyk;University of Minnesota;USA;
2007;main;Charles Consel;LaBRI / INRIA;France;
2007;main;Julia Lawall;DIKU;University of Copenhagen;
2007;main;Edwin Brady;University of St Andrews;UK;
2007;main;Johan Brichau;Université Catholique de Louvain;Belgium;
2007;main;Rastislav Bodik;UC Berkeley;USA;
2007;main;Jacques Carette;McMaster University;Canada;
2007;main;Albert Cheng;University of Houston;USA;
2007;main;Remi Douence;Ecole des Mines de Nantes-Inria;Lina;France
2007;main;Lidia Fuentes;University of Málaga;Spain;
2007;main;Ian Gorton;Pacific Northwest National Lab;;
2007;main;Jean-Marc Jezequel;IRISA;INRIA & Univ. Rennes 1;France
2007;main;Kyo Kang;Pohang University of Science and Technology;Korea;
2007;main;Siau Cheng Khoo;National University of Singapore;Singapore;
2007;main;Paul Kelly;Imperial College London;UK;
2007;main;Anne-Francoise Le Meur;University of Lille 1;France;
2007;main;Christian Lengauer;University of Passau;Germany;
2007;main;Sandeep Neema;Vanderbilt University;USA;
2007;main;Scott Owens;University of Cambridge;UK;
2007;main;Jens Palsberg;UCLA;USA;
2007;main;Renaud Pawlak;Rensselaer Polytechnic Institute;USA;
2007;main;Zoltan Porkolab;Eotvos Lorand University;Hungary;
2007;main;Robby;Kansas State University;USA;
