YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;46;16;80;0.200;0.320;0.348;66;111;7;170;0.041;0.106;0.063;106;138;26;218;0.119;0.245;0.188
2012;38;41;14;65;0.215;0.368;0.341;71;47;3;115;0.026;0.042;0.064;100;76;20;156;0.128;0.200;0.263
2011;54;41;6;89;0.067;0.111;0.146;55;59;6;108;0.056;0.109;0.102;97;90;12;175;0.069;0.124;0.133
2010;44;36;7;73;0.096;0.159;0.194;63;41;6;98;0.061;0.095;0.146;94;70;12;152;0.079;0.128;0.171
2009;48;35;10;73;0.137;0.208;0.286;72;39;2;109;0.018;0.028;0.051;110;65;14;161;0.087;0.127;0.215
2008;56;32;10;78;0.128;0.179;0.312;56;26;6;76;0.079;0.107;0.231;101;53;17;137;0.124;0.168;0.321
2007;48;32;10;70;0.143;0.208;0.312;57;68;6;119;0.050;0.105;0.088;94;89;16;167;0.096;0.170;0.180
2006;37;23;5;55;0.091;0.135;0.217;63;72;5;130;0.038;0.079;0.069;94;83;12;165;0.073;0.128;0.145
2005;33;20;3;50;0.060;0.091;0.150;62;59;5;116;0.043;0.081;0.085;87;73;10;150;0.067;0.115;0.137
