YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;46;3;93;0.032;0.060;0.065;277;125;12;390;0.031;0.043;0.096;306;151;21;436;0.048;0.069;0.139
2012;48;41;3;86;0.035;0.062;0.073;270;81;9;342;0.026;0.033;0.111;302;108;23;387;0.059;0.076;0.213
2011;53;41;8;86;0.093;0.151;0.195;198;83;10;271;0.037;0.051;0.120;235;113;26;322;0.081;0.111;0.230
2010;45;36;8;73;0.110;0.178;0.222;193;53;8;238;0.034;0.041;0.151;225;81;19;287;0.066;0.084;0.235
2009;44;35;2;77;0.026;0.045;0.057;147;39;9;177;0.051;0.061;0.231;181;65;15;231;0.065;0.083;0.231
2008;41;32;1;72;0.014;0.024;0.031;162;62;5;219;0.023;0.031;0.081;195;84;7;272;0.026;0.036;0.083
2007;36;32;2;66;0.030;0.056;0.062;140;68;9;199;0.045;0.064;0.132;171;89;13;247;0.053;0.076;0.146
2006;36;23;2;57;0.035;0.056;0.087;105;72;1;176;0.006;0.010;0.014;137;83;4;216;0.019;0.029;0.048
2005;46;20;2;64;0.031;0.043;0.100;137;59;1;195;0.005;0.007;0.017;175;73;4;244;0.016;0.023;0.055
