YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;27;46;0;73;0.000;0.000;0.000;67;111;0;178;0.000;0.000;0.000;88;138;0;226;0.000;0.000;0.000
2012;32;41;0;73;0.000;0.000;0.000;52;47;0;99;0.000;0.000;0.000;83;76;0;159;0.000;0.000;0.000
2011;26;41;0;67;0.000;0.000;0.000;61;59;0;120;0.000;0.000;0.000;82;90;1;171;0.006;0.012;0.011
2010;26;36;0;62;0.000;0.000;0.000;52;41;0;93;0.000;0.000;0.000;75;70;0;145;0.000;0.000;0.000
2009;31;35;0;66;0.000;0.000;0.000;53;39;0;92;0.000;0.000;0.000;78;65;0;143;0.000;0.000;0.000
2008;23;32;0;55;0.000;0.000;0.000;45;26;0;71;0.000;0.000;0.000;63;53;0;116;0.000;0.000;0.000
2007;27;32;0;59;0.000;0.000;0.000;48;68;0;116;0.000;0.000;0.000;75;89;0;164;0.000;0.000;0.000
2006;29;23;0;52;0.000;0.000;0.000;60;72;0;132;0.000;0.000;0.000;86;83;0;169;0.000;0.000;0.000
2005;20;20;1;39;0.026;0.050;0.050;69;59;0;128;0.000;0.000;0.000;86;73;1;158;0.006;0.012;0.014
