YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;46;0;76;0.000;0.000;0.000;78;111;1;188;0.005;0.013;0.009;105;138;2;241;0.008;0.019;0.014
2012;31;41;0;72;0.000;0.000;0.000;114;47;4;157;0.025;0.035;0.085;140;76;5;211;0.024;0.036;0.066
2011;27;41;0;68;0.000;0.000;0.000;91;59;0;150;0.000;0.000;0.000;114;90;2;202;0.010;0.018;0.022
2010;27;36;0;63;0.000;0.000;0.000;79;41;2;118;0.017;0.025;0.049;103;70;3;170;0.018;0.029;0.043
2009;29;35;1;63;0.016;0.034;0.029;94;39;0;133;0.000;0.000;0.000;117;65;2;180;0.011;0.017;0.031
2008;30;32;1;61;0.016;0.033;0.031;88;26;0;114;0.000;0.000;0.000;115;53;2;166;0.012;0.017;0.038
2007;28;32;1;59;0.017;0.036;0.031;76;68;1;143;0.007;0.013;0.015;101;89;4;186;0.022;0.040;0.045
2006;25;23;1;47;0.021;0.040;0.043;67;72;2;137;0.015;0.030;0.028;89;83;2;170;0.012;0.022;0.024
2005;25;20;0;45;0.000;0.000;0.000;70;59;0;129;0.000;0.000;0.000;94;73;0;167;0.000;0.000;0.000
