YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;46;4;75;0.053;0.121;0.087;142;125;6;261;0.023;0.042;0.048;164;151;12;303;0.040;0.073;0.079
2012;44;41;5;80;0.062;0.114;0.122;70;81;6;145;0.041;0.086;0.074;109;108;11;206;0.053;0.101;0.102
2011;43;41;3;81;0.037;0.070;0.073;119;83;2;200;0.010;0.017;0.024;157;113;6;264;0.023;0.038;0.053
2010;41;36;2;75;0.027;0.049;0.056;120;53;4;169;0.024;0.033;0.075;155;81;10;226;0.044;0.065;0.123
2009;38;35;1;72;0.014;0.026;0.029;115;39;1;153;0.007;0.009;0.026;147;65;4;208;0.019;0.027;0.062
2008;47;32;4;75;0.053;0.085;0.125;97;62;2;157;0.013;0.021;0.032;136;84;6;214;0.028;0.044;0.071
2007;35;32;2;65;0.031;0.057;0.062;99;68;3;164;0.018;0.030;0.044;126;89;6;209;0.029;0.048;0.067
2006;43;23;4;62;0.065;0.093;0.174;64;72;9;127;0.071;0.141;0.125;104;83;13;174;0.075;0.125;0.157
2005;52;20;0;72;0.000;0.000;0.000;84;59;0;143;0.000;0.000;0.000;132;73;1;204;0.005;0.008;0.014
