YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;71;46;12;105;0.114;0.169;0.261;115;111;8;218;0.037;0.070;0.072;175;138;25;288;0.087;0.143;0.181
2012;70;41;19;92;0.207;0.271;0.463;154;47;15;186;0.081;0.097;0.319;199;76;32;243;0.132;0.161;0.421
2011;80;41;13;108;0.120;0.163;0.317;113;59;10;162;0.062;0.088;0.169;174;90;24;240;0.100;0.138;0.267
2010;74;36;14;96;0.146;0.189;0.389;106;41;4;143;0.028;0.038;0.098;164;70;21;213;0.099;0.128;0.300
2009;81;35;13;103;0.126;0.160;0.371;117;39;6;150;0.040;0.051;0.154;184;65;21;228;0.092;0.114;0.323
2008;82;32;12;102;0.118;0.146;0.375;105;26;0;131;0.000;0.000;0.000;170;53;17;206;0.083;0.100;0.321
2007;89;32;11;110;0.100;0.124;0.344;142;68;12;198;0.061;0.085;0.176;210;89;22;277;0.079;0.105;0.247
2006;80;23;4;99;0.040;0.050;0.174;122;72;7;187;0.037;0.057;0.097;183;83;11;255;0.043;0.060;0.133
2005;60;20;1;79;0.013;0.017;0.050;139;59;2;196;0.010;0.014;0.034;182;73;6;249;0.024;0.033;0.082
