YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;46;10;100;0.100;0.156;0.217;90;111;8;193;0.041;0.089;0.072;141;138;21;258;0.081;0.149;0.152
2012;64;41;8;97;0.082;0.125;0.195;96;47;4;139;0.029;0.042;0.085;151;76;13;214;0.061;0.086;0.171
2011;71;41;4;108;0.037;0.056;0.098;96;59;4;151;0.026;0.042;0.068;158;90;14;234;0.060;0.089;0.156
2010;65;36;4;97;0.041;0.062;0.111;72;41;5;108;0.046;0.069;0.122;131;70;9;192;0.047;0.069;0.129
2009;54;35;4;85;0.047;0.074;0.114;55;39;1;93;0.011;0.018;0.026;103;65;7;161;0.043;0.068;0.108
2008;52;32;5;79;0.063;0.096;0.156;69;26;0;95;0.000;0.000;0.000;110;53;9;154;0.058;0.082;0.170
2007;39;32;7;64;0.109;0.179;0.219;76;68;2;142;0.014;0.026;0.029;106;89;10;185;0.054;0.094;0.112
2006;43;23;2;64;0.031;0.047;0.087;79;72;7;144;0.049;0.089;0.097;108;83;9;182;0.049;0.083;0.108
2005;51;20;1;70;0.014;0.020;0.050;88;59;0;147;0.000;0.000;0.000;131;73;2;202;0.010;0.015;0.027
