2010;Julio Sincero,Reinhard Tartler,Daniel Lohmann,Wolfgang Schroder-Preikschat;Efficient extraction and analysis of preprocessor-based variability.;33-42;10;Separation of concerns 1;
2010;Arie Middelkoop,Atze Dijkstra,S. Doaitse Swierstra;Iterative type inference with attribute grammars.;43-52;10;Languages and language technology 1;
2010;Matthias P. Krieger,Alexander Knapp,Burkhart Wolff;Automatic and efficient simulation of operation contracts.;53-62;10;Languages and language technology 1;
2010;Yuheng Long,Sean L. Mooney,Tyler Sondag,Hridesh Rajan;Implicit invocation meets safe, implicit concurrency.;63-72;10;Languages and language technology 1;
2010;Juan F. Navas,Jean-Philippe Babau,Jacques Pulou;A component-based run-time evolution infrastructure for resource-constrained embedded systems.;73-82;10;Components;
2010;Christian Hofer,Klaus Ostermann;Modular domain-specific language components in scala.;83-92;10;Components;
2010;Reinhard Wolfinger,Markus Loberbauer,Markus Jahn,Hanspeter Mossenbock;Adding genericity to a plug-in framework.;93-102;10;Components;
2010;Sandro Schulze,Sven Apel,Christian Kastner;Code clones in feature-oriented software product lines.;103-112;10;Separation of concerns 2;
2010;Eric Tanter,Philippe Moret,Walter Binder,Danilo Ansaloni;Composition of dynamic analysis aspects.;113-122;10;Separation of concerns 2;
2010;Thomas Wurthinger,Walter Binder,Danilo Ansaloni,Philippe Moret,Hanspeter Mossenbock;Applications of enhanced dynamic code evolution for Java in GUI development and dynamic aspect-oriented programming.;123-126;4;Separation of concerns 2;
2010;Tiark Rompf,Martin Odersky;Lightweight modular staging: a pragmatic approach to runtime code generation and compiled DSLs.;127-136;10;Languages and language technology 2;
2010;Zoltan Porkolab,Abel Sinkovics;Domain-specific language integration with compile-time parser generator library.;137-146;10;Languages and language technology 2;
2010;Kevin Atkinson,Matthew Flatt,Gary Lindstrom;ABI compatibility through a customizable language.;147-156;10;Languages and language technology 2;
2010;Mirko Bordignon,Ulrik Pagh Schultz,Kasper Stoy;Model-based kinematics generation for modular mechatronic toolkits.;157-166;10;Generation;
2010;Weiyu Miao,Jeremy G. Siek;Incremental type-checking for type-reflective metaprograms.;167-176;10;Generation;
2010;Neville Grech,Julian Rathke,Bernd Fischer 0002;JEqualityGen: generating equality and hashing methods.;177-186;10;Generation;
2009;Rishiyur S. Nikhil;Using GPCE principles for hardware systems and accelerators: (bridging the gap to HW design).;1-2;2;;
2009;James R. Cordy;Eating our own dog food: DSLs for generative and transformational engineering.;3-4;2;;
2009;Jeremiah Willcock,Andrew Lumsdaine,Daniel J. Quinlan;Reusable, generic program analyses and transformations.;5-14;10;Templates;
2009;Anya Helene Bagge,Valentin David,Magne Haveraaen;The axioms strike back: testing with concepts and axioms in C++.;15-24;10;Templates;
2009;Ronald Garcia,Andrew Lumsdaine;Toward foundations for type-reflective metaprogramming.;25-34;10;Templates;
2009;S. Hossein Sadat-Mohtasham,H. James Hoover;Transactional pointcuts: designation reification and advice of interrelated join points.;35-44;10;Aspects;
2009;Shumpei Akai,Shigeru Chiba;Extending AspectJ for separating regions.;45-54;10;Aspects;
2009;Yanhong A. Liu,Michael Gorbovitski,Scott D. Stoller;A language and framework for invariant-driven transformations.;55-64;10;Aspects;
2009;Stefan Wehr,Peter Thiemann;JavaGI in the battlefield: practical experience with generalized interfaces.;65-74;10;Components;
2009;Phil McGachey,Antony L. Hosking,J. Eliot B. Moss;Classifying Java class transformations for pervasive virtualized access.;75-84;10;Components;
2009;Alex Villazon,Walter Binder,Danilo Ansaloni,Philippe Moret;Advanced runtime adaptation for Java.;85-94;10;Components;
2009;Alex Villazon,Walter Binder,Danilo Ansaloni,Philippe Moret;HotWave: creating adaptive tools with dynamic aspect-oriented programming in Java.;95-98;4;Components;
2009;Florian Heidenreich,Jendrik Johannes,Mirko Seifert,Christian Wende,Marcel Bohme;Generating safe template languages.;99-108;10;Generation;
2009;Soonho Kong,Wontae Choi,Kwangkeun Yi;Abstract parsing for two-staged languages with concatenation.;109-116;8;Generation;
2009;Srinivas Nedunuri,William R. Cook;Synthesis of fast programs for maximum segment sum problems.;117-126;10;Generation;
2009;Ansgar Radermacher,Arnaud Cuccuru,Sebastien Gerard,Francois Terrier;Generating execution infrastructures for component-oriented specifications with a model driven toolchain: a case study for MARTE's GCM and real-time annotations.;127-136;10;Applications;
2009;Damien Cassou,Benjamin Bertran,Nicolas Loriant,Charles Consel;A generative programming approach to developing pervasive computing systems.;137-146;10;Applications;
2009;Jaakko Jarvi,Matthew A. Marcus,Sean Parent,John Freeman,Jacob N. Smith;Algorithms for user interfaces.;147-156;10;Applications;
2009;Christian Kastner,Sven Apel,Martin Kuhlemann;A model of refactoring physically and virtually separated features.;157-166;10;Features;
2009;Frans Sanen,Eddy Truyen,Wouter Joosen;Mapping problem-space to solution-space features: a feature interaction approach.;167-176;10;Features;
2009;Martin Kuhlemann,Don S. Batory,Christian Kastner;Safe composition of non-monotonic features.;177-186;10;Features;
2008;Andrew Fano;Emerging challenges for large scale systems integration.;1-2;2;Keynote address;
2008;Marko Rosenmuller,Norbert Siegmund,Gunter Saake,Sven Apel;Code generation to support static and dynamic composition of software product lines.;3-12;10;Technical papers 1;
2008;Marcilio Mendonca,Andrzej Wasowski,Krzysztof Czarnecki,Donald D. Cowan;Efficient compilation techniques for large scale feature models.;13-22;10;Technical papers 1;
2008;Chang Hwan Peter Kim,Christian Kastner,Don S. Batory;On the modularity of feature interactions.;23-34;12;Technical papers 1;
2008;Don S. Batory;Using modern mathematics as an FOSD modeling language.;35-44;10;Technical papers 2;
